Quality,Item Name,Type,Brand,Core,Attribute 1,Attribute 2,Mod,Talent
Exotic,NinjaBike Messenger Kneepads,E,Exotic,Weapon Damage,Critical Hit Chance,Critical Hit Damage,,Parkour!
Exotic,Sawyer's Kneepads,E,Exotic,Armor,Explosive Resistance,Health,,Stand Your Ground
High End,5.11 Tactical,A,5.11 Tactical,Armor,A,A,,
Gearset,Aces & Eights,S,Aces & Eights,Weapon Damage,A,,,
High End,Airaldi Holdings,A,Airaldi Holdings,Weapon Damage,A,A,,
High End,Alps Summit Armaments,A,Alps Summit Armaments,Skill Tier,A,A,,
High End,Badger Tuff,A,Badger Tuff,Armor,A,A,,
High End,Ceska Vyroba s.r.o.,A,Ceska Vyroba s.r.o.,Weapon Damage,A,A,,
High End,China Light Industries Corporation,A,China Light Industries Corporation,Skill Tier,A,A,,
High End,Douglas & Harding,A,Douglas & Harding,Weapon Damage,A,A,,
High End,Fenris Group AB,A,Fenris Group AB,Weapon Damage,A,A,,
Gearset,Foundry Bulwark,S,Foundry Bulwark,Armor,A,,,
Gearset,Future Initiative,S,Future Initiative,Skill Tier,A,,,
High End,Gila Guard,A,Gila Guard,Armor,A,A,,
High End,Golan Gear Ltd,A,Golan Gear Ltd,Armor,A,A,,
High End,Grupo Sombra S.A.,A,Grupo Sombra S.A.,Weapon Damage,A,A,,
High End,Hana-U Corporation,A,Hana-U Corporation,Skill Tier,A,A,,
Gearset,Hard Wired,S,Hard Wired,Skill Tier,A,,,
High End,Murakami Industries,A,Murakami Industries,Skill Tier,A,A,,
Named,Emperor's Guard,N,Murakami Industries,Skill Tier,Armor Regeneration %,A,,
Gearset,Negotiator's Dilemma,S,Negotiator's Dilemma,Weapon Damage,A,,,
Gearset,Ongoing Directive,S,Ongoing Directive,Weapon Damage,A,,,
High End,Overlord Armaments,A,Overlord Armaments,Weapon Damage,A,A,,
Named,Fox's Prayer,N,Overlord Armaments,Weapon Damage,Damage to TOC,A,,
High End,Petrov Defense Group,A,Petrov Defense Group,Weapon Damage,A,A,,
High End,Providence Defense,A,Providence Defense,Weapon Damage,A,A,,
High End,Richter & Kaiser GmbH,A,Richter & Kaiser GmbH,Skill Tier,A,A,,
High End,Sokolov Concern,A,Sokolov Concern,Weapon Damage,A,A,,
Gearset,Striker's Battlegear,S,Striker's Battlegear,Weapon Damage,A,,,
Gearset,System Corruption,S,System Corruption,Armor,A,,,
Gearset,Tip of the Spear,S,Tip of the Spear,Weapon Damage,A,,,
Gearset,True Patriot,S,True Patriot,Armor,A,,,
High End,Wyvern Wear,A,Wyvern Wear,Skill Tier,A,A,,
High End,Yaahl Gear,A,Yaahl Gear,Armor,A,A,,
High End,Improvised Kneepads,A,Crafted,A,A,A,A,
High End,"Walker, Harris & Co.",A,"Walker, Harris & Co.",Weapon Damage,A,A,,
Gearset,Eclipse Protocol,S,Eclipse Protocol,Skill Tier,A,,,
High End,Empress International,A,Empress International,Skill Tier,A,A,,
Gearset,Hunter's Fury,S,Hunter's Fury,Weapon Damage,A,,,
Gearset,Rigger,S,Rigger,Skill Tier,A,,,
High End,Belstone Armory,A,Belstone Armory,Armor,A,A,,
High End,Uzina Getica,A,Uzina Getica,Armor,A,A,,
Gearset,Heartbreaker,S,Heartbreaker,A,A,,,
