Quality,Item Name,Type,Brand,Core,Attribute 1,Attribute 2,Mod,Talent
Exotic,Coyote's Mask,E,Exotic,Weapon Damage,Critical Hit Chance,Critical Hit Damage,O,Pack Instincts
High End,5.11 Tactical,A,5.11 Tactical,Armor,A,A,D,
Gearset,Aces & Eights,S,Aces & Eights,Weapon Damage,A,,O,
High End,Airaldi Holdings,A,Airaldi Holdings,Weapon Damage,A,A,O,
High End,Alps Summit Armaments,A,Alps Summit Armaments,Skill Tier,A,A,U,
High End,Badger Tuff,A,Badger Tuff,Armor,A,A,O,
High End,Ceska Vyroba s.r.o.,A,Ceska Vyroba s.r.o.,Weapon Damage,A,A,D,
High End,China Light Industries Corporation,A,China Light Industries Corporation,Skill Tier,A,A,U,
High End,Douglas & Harding,A,Douglas & Harding,Weapon Damage,A,A,O,
Named,Punch Drunk,N,Douglas & Harding,Weapon Damage,Headshot Damage ,A,O,
High End,Fenris Group AB,A,Fenris Group AB,Weapon Damage,A,A,O,
Gearset,Foundry Bulwark,S,Foundry Bulwark,Armor,A,,D,
Gearset,Future Initiative,S,Future Initiative,Skill Tier,A,,U,
High End,Gila Guard,A,Gila Guard,Armor,A,A,D,
Named,Nightwatcher,N,Gila Guard,Armor,Scanner Pulse Haste,A,D,
High End,Golan Gear Ltd,A,Golan Gear Ltd,Armor,A,A,U,
High End,Grupo Sombra S.A.,A,Grupo Sombra S.A.,Weapon Damage,A,A,U,
High End,Hana-U Corporation,A,Hana-U Corporation,Skill Tier,A,A,O,
Gearset,Hard Wired,S,Hard Wired,Skill Tier,A,,U,
High End,Murakami Industries,A,Murakami Industries,Skill Tier,A,A,U,
Gearset,Negotiator's Dilemma,S,Negotiator's Dilemma,Weapon Damage,A,,O,
Gearset,Ongoing Directive,S,Ongoing Directive,Weapon Damage,A,,U,
High End,Overlord Armaments,A,Overlord Armaments,Weapon Damage,A,A,O,
High End,Petrov Defense Group,A,Petrov Defense Group,Weapon Damage,A,A,O,
High End,Providence Defense,A,Providence Defense,Weapon Damage,A,A,O,
High End,Richter & Kaiser GmbH,A,Richter & Kaiser GmbH,Skill Tier,A,A,D,
High End,Sokolov Concern,A,Sokolov Concern,Weapon Damage,A,A,O,
Gearset,Striker's Battlegear,S,Striker's Battlegear,Weapon Damage,A,,O,
Gearset,System Corruption,S,System Corruption,Weapon Damage,A,,O,
Gearset,Tip of the Spear,S,Tip of the Spear,Weapon Damage,A,,O,
Gearset,True Patriot,S,True Patriot,Armor,A,,D,
High End,Wyvern Wear,A,Wyvern Wear,Skill Tier,A,A,U,
High End,Yaahl Gear,A,Yaahl Gear,Armor,A,A,O,
Named,The Hollow Man,N,Yaahl Gear,Armor,Health Damage,A,O,
High End,Improvised Mask,A,Crafted,A,A,A,A,
Exotic,Vile,E,Exotic,Skill Tier,Status Effects,Hazard Protection,U,Toxic Delivery
High End,"Walker, Harris & Co.",A,"Walker, Harris & Co.",Weapon Damage,A,A,O,
Gearset,Eclipse Protocol,S,Eclipse Protocol,Skill Tier,A,,U,
High End,Empress International,A,Empress International,Skill Tier,A,A,U,
Gearset,Hunter's Fury,S,Hunter's Fury,Weapon Damage,A,,O,
Gearset,Rigger,S,Rigger,Skill Tier,A,,U,
High End,Belstone Armory,A,Belstone Armory,Armor,A,A,D,
Named,Chill Out,A,Crafted,Armor,A,,A,Second Mod Slot
High End,Uzina Getica,A,Uzina Getica,Armor,A,A,A,
Exotic,Catharsis,E,Exotic,Armor,Incoming Repairs,Armor Regeneration,A,Vicious Cycle
Gearset,Heartbreaker,S,Heartbreaker,Armor,A,,A,
